Portuguese,English
certeza,certainty
vão,they go
hora,time
ok,OK
outra,other
sair,to go out
toda,all
volta,back
problema,problem
obrigada,thanks
olá,hello
tipo,type
realmente,really
sabia,you knew
aconteceu,it happened
menos,less
mulher,woman
algum,some
diga,say
falando,talking
espere,Wait
ótimo,excellent
carro,car
vezes,times
amigo,friend
primeiro,first
deveria,it should
seria,he would be
venha,come
três,three
entre,between
daqui,from here
sério,serious
diz,it says
voltar,to go back
ah,oh
parte,part
amor,love
feliz,happy
às,to the
viu,it saw
embora,although
família,family
olhe,look
deixar,to leave
atrás,back
tenha,you have
faça,do
pensei,I thought
ajudar,to help
todas,all
olha,look
aquele,that one
duas,two
querida,dear
frente,front
vi,saw
indo,going
alguns,some
dias,days
fui,I went
vem,he comes
lado,side
podem,they can
fiz,I did
merda,Shit
nas,in the
pare,Stop
tarde,afternoon
gosto,I like
precisamos,we need
caso,case
fique,stay
dentro,within
cidade,city
momento,moment
pegar,to take
foram,they were
nenhum,none
gente,people
somos,we are
amanhã,tomorrow
fosse,were
cabeça,head
gostaria,I would like
amigos,friends
mal,bad
enquanto,while
homens,men
logo,soon
deles,from them
desde,since
tanto,both
garota,girl
pessoa,person
legal,legal
amo,I love
rápido,fast
algumas,some
cada,each
jeito,way
tentando,trying
meio,quite
outros,others
têm,he has
medo,fear
minhas,my
importa,matter
irmão,brother
errado,wrong
história,history
primeira,first
quase,almost
horas,hours
encontrar,find
nova,new
essas,these
pessoal,guys
dá,from the
difícil,difficult
forma,shape
contra,against
matar,to kill
semana,week
dizendo,saying
perto,close
demais,too much
entrar,to enter
esses,those
deu,it gave
achei,I thought
deixe,let
vejo,I see
polícia,police
espero,I hope
sido,been
juntos,together
ajuda,help
ano,year
caminho,path
nisso,in this
elas,they
quiser,he wants
crianças,children
manhã,morning
for,for
aquela,that one
sorte,luck
morte,death
pensar,think
papai,daddy
aos,to the
ali,there
veja,look
fica,he is
teve,he had
quarto,room
levar,to take
filha,daughter
feito,done
minutos,minutes
morto,dead
porta,door
tive,I had
entendo,I understand
cima,top
acabou,he finished
tá,okay
chegar,to arrive
num,in a
veio,he came
água,water
mesma,same
dê,of
significa,means
teria,would have
pronto,ready
esposa,wife
vir,come
acredito,I believe
ouvir,to hear
gosta,he likes
morrer,to die
nossos,ours
olhos,eyes
garoto,boy
última,last
coração,heart
contar,count
importante,important
jogo,game
acontecendo,happening
razão,reason
mãos,hands
devo,I must
ideia,idea
consigo,with you
idiota,idiot
passar,to spend
havia,there was
problemas,problems
parar,to stop
senhora,madam
fim,end
corpo,body
chefe,boss
poder,power
mamãe,mommy
ia,ia
cuidado,Careful
começar,to start
espera,wait
ficou,it was left
conta,account
exatamente,exactly
arma,arm
longe,far away
escola,school
tentar,to try
pois,then
terra,Earth
droga,drug
ontem,yesterday
pensando,thinking
única,unique
devia,should
sendo,being
causa,cause
guerra,war
chance,chance
usar,to use
marido,husband
mão,hand
tal,such
numa,in a
trabalhar,to work
sangue,blood
música,music
esperar,wait
querem,want
uns,some
nenhuma,none
tivesse,had
digo,I say
estranho,strange
maior,bigger
velho,old
faço,I make
boca,mouth
houve,there was
festa,party
estavam,they were
fala,he speaks
mulheres,women
conhece,do you know
ouvi,I heard
tirar,to throw
esperando,waiting
podia,could
licença,license
capitão,captain
preocupe,worry
comer,eat
fácil,easy
deixa,he leaves
novamente,again
além,in addition
irmã,sister
meses,months
eram,they were
suficiente,enough
pais,country
segundo,second
sabemos,we know
muitas,lots of
cinco,five
bebê,baby
matou,killed
querido,dear
muita,many
idéia,idea
saia,skirt
muitos,many
número,number
vê,see
deixou,he left
conseguir,get
lembra,remember
dessa,of this
morreu,he died
tomar,take
the,the
bastante,quite
neste,in this
maneira,manner
quatro,four
filhos,children
acontecer,to happen
criança,child
dormir,sleep
durante,during
possa,can
desse,of that
vindo,coming
certa,right
café,coffee
possível,possible
casamento,marriage
irá,Iran
acordo,agreement
quis,wanted
equipe,team
conheço,I know
ruim,bad
culpa,blame
jantar,to have lunch
provavelmente,probably
consegue,it achieves
telefone,telephone
esteja,be
mil,thousand
i,i
forte,strong
sentir,to feel
viver,to live
chegou,it arrived
diferente,different
sozinho,alone
prazer,pleasure
pergunta,question
procurando,looking for
iria,I would go
terá,will have
conseguiu,it achieved
outras,others
final,end
